CDH1,VIM,ASCL2,TCF4,MYC,CDKN2B,TIMP2,ZEB1
251.7854,109.097,608.3045,2.8825,138.2239,4.4093,81.9555,4.2139
309.4996,17.3629,221.9569,1.0933,93.3444,1.9171,26.6492,2.2514
342.6282,23.9128,39.9114,0.8726,80.472,13.4898,46.9575,2.0258
229.5495,51.2226,425.7037,1.1968,108.7495,4.2803,30.4534,1.595
351.891,53.4502,433.2192,1.9006,218.7623,5.1849,20.4774,2.7529
214.4606,18.6293,571.1584,0.2645,212.2187,6.358,12.4533,0.3205
237.3188,100.7804,58.8389,3.6208,228.7019,9.922,151.5732,11.2611
361.3583,15.4895,8.5379,0.9045,94.6603,1.7481,11.6091,1.1207
138.0473,51.9847,54.0743,0.6202,104.1023,12.6386,30.3307,1.3756
204.9306,63.0714,153.274,1.4404,167.6999,10.7944,43.4529,1.8213
401.6039,83.4809,193.6357,4.4308,236.2482,13.6123,126.5673,7.2303
379.4082,70.2965,440.6142,2.0538,236.3196,5.6505,54.7706,2.6415
213.1373,129.66,181.7438,3.5212,173.833,21.8807,90.5222,7.251
372.6258,118.2072,10.0603,5.4985,62.2438,32.1819,120.4261,8.509
218.437,9.4988,149.1565,0.1827,94.6263,2.743,10.4163,0.4591
260.9653,199.4587,113.2878,8.9537,135.8538,18.3335,218.5314,16.9559
258.3832,46.6632,220.6701,1.4771,265.8001,6.4343,34.5092,2.5191
473.8596,85.4852,200.1324,2.1995,253.6328,8.9097,65.5556,4.8174
224.3797,68.0676,3.1241,1.2788,57.2492,15.5237,85.4358,2.2933
599.1819,97.9076,271.6805,5.0518,297.8034,10.4899,121.3439,10.2313
299.5535,116.7853,39.4146,6.6868,69.651,35.4416,160.4873,13.9919
697.5052,106.311,162.3151,4.1448,362.1694,11.6266,120.6224,8.9552
373.2512,87.8475,323.947,5.1355,130.8953,7.2811,127.1348,10.5304
513.819,94.9425,209.7684,2.8756,367.6657,4.6215,67.307,5.1141
385.9226,183.2916,99.9858,4.2625,112.5364,13.3477,177.1761,6.1935
114.1434,190.0355,110.5231,2.7066,121.0555,29.5448,166.7016,4.7112
514.0015,78.071,1.3027,2.1329,26.9159,22.8973,141.6541,5.2792
284.6573,59.3851,649.8053,1.0139,191.3453,4.9284,60.2311,1.6943
394.0079,151.3466,12.6725,3.9682,57.2812,128.0694,147.8249,8.788
419.1554,73.2863,379.3813,1.8916,306.4233,13.0262,49.3331,3.3577
551.644,71.1667,70.4077,1.8401,76.9433,11.6424,38.3955,3.5745
611.332,29.6886,2.0548,0.8064,13.4821,98.7159,138.5887,1.5486
330.6626,37.1372,98.1961,1.2843,78.8449,4.1196,21.5331,1.8952
167.1458,97.528,183.1354,5.1078,545.6321,12.5568,50.071,9.0809
257.1562,67.1312,260.6323,1.5816,250.4224,5.2384,49.3747,4.1477
377.1438,46.4171,75.073,1.3778,96.057,3.1987,28.3837,3.3527
